Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
52	-93622.05	6996.3794	-77794.055	-107394.06	-209217.4	23480.97	-160971.52	-233305.25	180.0	180.0	259999	-61857.105	4404.7544	-51893.57	-77985.18	-61857.11	4403.8228	-51948.125	-76647.35	61595.36	430806.06	1806.2224068641663
53	-96589.73	7137.8315	-75798.49	-111249.14	-193023.3	23796.412	-159697.66	-227173.16	180.0	180.0	264999	-61858.426	4331.034	-52067.355	-77302.57	-61858.49	4330.218	-52045.31	-76294.195	61597.652	424717.53	1842.3332390785217
54	-94250.6	7286.0327	-74710.64	-104706.39	-180893.4	25537.91	-127516.45	-205551.6	180.0	180.0	269999	-61847.766	4252.5967	-52168.105	-76929.766	-61847.793	4251.798	-52201.1	-76783.38	61587.7	416468.53	1878.5145599842072
55	-95283.055	7027.507	-80486.74	-105850.93	-203622.88	29213.754	-159607.27	-236255.36	180.0	180.0	274999	-61840.38	4224.6704	-51091.156	-76785.48	-61840.492	4224.006	-51382.69	-76019.14	61591.14	387605.53	1913.9591829776764
56	-93828.18	6040.773	-80878.5	-107560.26	-203448.52	22806.299	-162464.25	-230190.58	180.0	180.0	279999	-61872.027	4230.3496	-50914.36	-76058.805	-61872.05	4229.8604	-51220.22	-76007.586	61631.297	383017.12	1949.847452878952
57	-94289.57	5465.6987	-77358.016	-101275.195	-188116.28	22187.53	-159378.25	-227223.84	180.0	180.0	284999	-61968.824	4220.771	-51353.797	-75626.21	-61968.92	4219.875	-51675.547	-75539.79	61730.418	373232.66	1986.3848309516907
58	-93428.375	7451.878	-77532.18	-105898.695	-191971.75	28041.81	-127996.945	-221582.66	180.0	180.0	289999	-62038.047	4216.922	-51044.332	-75624.99	-62038.11	4215.767	-51756.023	-75884.0	61799.36	374392.7	2022.7320289611816
59	-95631.64	5851.3223	-85613.734	-108888.125	-182901.47	25641.21	-134657.08	-220957.12	180.0	180.0	294999	-62109.527	4204.0327	-51231.434	-75607.46	-62109.62	4203.0376	-51086.562	-75165.11	61875.727	379930.44	2058.896908044815
60	-92182.56	7785.743	-75695.07	-105061.586	-197065.03	28141.205	-127674.625	-224709.42	180.0	180.0	299999	-62132.586	4206.098	-51397.562	-75260.125	-62132.504	4205.442	-51349.348	-75272.086	61894.754	365081.6	2094.84334897995
61	-94593.586	6748.7466	-78959.11	-106376.88	-207172.44	21172.174	-169827.16	-229571.73	180.0	180.0	304999	-62077.81	4206.062	-52152.23	-75599.32	-62077.863	4205.0244	-52168.95	-75385.46	61844.965	364861.56	2131.5053231716156
62	-92667.04	6360.8184	-75668.766	-102133.88	-172313.6	21714.295	-141005.4	-206480.81	180.0	180.0	309999	-61987.555	4292.9785	-51989.418	-75929.055	-61987.613	4291.7534	-51793.13	-75682.08	61726.055	357976.16	2167.163183927536
63	-92322.984	6742.2417	-79002.54	-105017.54	-181986.97	32439.322	-134201.31	-217309.48	180.0	180.0	314999	-61805.742	4469.3267	-51280.63	-76191.31	-61805.79	4468.716	-51110.887	-75586.18	61542.9	346923.25	2204.1031968593597
64	-87687.055	9129.629	-68915.5	-103398.19	-203015.2	34165.707	-127515.71	-236533.14	180.0	180.0	319999	-61523.035	4642.5796	-48442.457	-76199.195	-61523.055	4642.016	-48841.664	-75977.57	61257.164	345278.0	2239.766821861267
65	-94088.74	6374.976	-77736.06	-109646.52	-197216.53	37045.58	-129645.26	-228525.34	180.0	180.0	324999	-61239.33	4829.514	-46264.355	-76450.23	-61239.367	4828.915	-46717.5	-76520.07	60984.402	346512.62	2276.0635328292847
66	-92746.57	5016.478	-81519.234	-102773.97	-183800.45	22577.61	-161137.58	-218571.84	180.0	180.0	329999	-60989.84	5028.974	-45340.94	-76066.65	-60989.87	5028.3735	-45967.633	-76030.81	60734.676	354736.25	2312.1713061332703
67	-90862.55	6460.049	-74701.89	-102130.805	-199788.22	27930.934	-162003.2	-241183.0	180.0	180.0	334999	-60739.008	5225.592	-44582.04	-75989.73	-60739.047	5224.7563	-45268.2	-75968.3	60486.156	361001.03	2349.0781559944153
68	-89020.39	5858.344	-77414.13	-100401.97	-201505.03	24311.639	-169302.67	-243953.94	180.0	180.0	339999	-60534.934	5418.316	-44053.734	-76270.016	-60534.98	5417.7437	-43714.31	-75970.266	60281.797	366089.62	2384.649558067322
69	-87517.984	7471.04	-70631.414	-102199.586	-160951.75	25100.666	-127403.76	-200731.88	180.0	180.0	344999	-60205.46	5516.0176	-42969.656	-75654.7	-60205.543	5515.479	-42994.152	-75963.07	59956.84	348995.03	2420.971032857895
70	-90143.89	6516.0493	-76302.91	-102788.0	-200636.6	19527.414	-165031.56	-222252.17	180.0	180.0	349999	-59882.63	5554.885	-44049.45	-75613.09	-59882.7	5554.253	-44524.438	-75840.1	59636.402	350099.72	2456.809282064438
71	-88240.695	7475.49	-70233.38	-103362.72	-199650.62	18131.719	-159663.81	-219638.33	180.0	180.0	354999	-59643.44	5594.508	-46818.715	-76195.15	-59643.586	5593.6094	-46785.035	-75670.68	59393.504	373678.06	2492.0121009349823
72	-87773.586	7066.8394	-74015.42	-101981.63	-196511.72	23077.322	-161202.8	-229626.98	180.0	180.0	359999	-59334.08	5593.2695	-47635.605	-75260.94	-59334.21	5592.7686	-47656.3	-75547.4	59087.258	363652.88	2527.2540049552917
73	-89198.22	5773.037	-74111.086	-98395.664	-220186.72	16881.664	-191266.19	-237602.89	180.0	180.0	364999	-59084.63	5596.8643	-47631.06	-74709.38	-59084.746	5596.325	-47653.562	-75221.875	58841.062	362478.6	2561.3236718177795
74	-84701.17	5800.477	-69874.06	-96780.49	-205227.03	26769.49	-166878.52	-247614.05	180.0	180.0	369999	-58887.777	5599.728	-47526.418	-75437.86	-58887.766	5599.111	-47604.098	-75901.25	58644.24	359755.38	2597.630479812622
75	-88215.19	7332.5464	-67393.2	-104408.71	-205359.77	28531.107	-160361.72	-237479.81	180.0	180.0	374999	-58700.32	5604.096	-47474.28	-76184.414	-58700.38	5603.462	-47387.098	-76139.61	58460.35	356798.75	2632.8034360408783
76	-86556.836	6885.8	-66662.35	-104281.16	-207422.12	16544.303	-182994.94	-230584.64	180.0	180.0	379999	-58598.09	5610.821	-47294.438	-76906.91	-58598.184	5610.1533	-46956.918	-76522.47	58362.395	362915.03	2667.815468788147
77	-86891.66	4325.6343	-78379.26	-96774.59	-197907.17	24423.25	-159475.16	-237555.05	180.0	180.0	384999	-58477.57	5624.742	-47228.844	-77524.234	-58477.668	5624.0938	-46910.957	-76879.46	58246.816	362379.53	2703.3298709392548
78	-84696.01	5024.2114	-74899.12	-92877.37	-198975.1	26713.363	-162079.33	-236981.7	180.0	180.0	389999	-58381.703	5643.225	-47136.04	-76657.06	-58381.78	5642.4883	-47223.96	-76326.625	58147.117	361281.78	2740.3198988437653
79	-83771.586	6986.2905	-71542.67	-101703.33	-184919.67	25384.596	-135974.28	-221726.02	180.0	180.0	394999	-58164.02	5594.3096	-47301.965	-75798.305	-58164.08	5593.5444	-47216.133	-76006.125	57915.46	335757.1	2777.190414905548
80	-85238.664	6763.428	-74052.805	-99301.375	-186983.78	18147.914	-163037.95	-211084.94	180.0	180.0	399999	-57960.844	5508.13	-47047.95	-75262.34	-57960.91	5507.654	-47383.836	-75228.57	57720.13	329789.7	2814.036075115204
81	-86380.734	7128.642	-69522.93	-97623.71	-193459.83	25854.844	-160544.28	-242640.3	180.0	180.0	404999	-57811.37	5454.821	-47311.727	-75438.2	-57811.35	5454.3286	-47334.35	-75271.86	57571.73	314638.3	2850.4313180446625
82	-83518.54	6579.948	-70790.7	-94698.766	-168092.47	31900.592	-128030.445	-220096.86	180.0	180.0	409999	-57711.055	5409.5527	-46858.445	-76153.89	-57711.086	5409.11	-47246.53	-75391.23	57473.547	310846.0	2886.335983991623
83	-84284.26	5012.752	-71206.73	-93732.5	-201905.22	22129.703	-164823.16	-232362.98	180.0	180.0	414999	-57615.95	5372.626	-47318.242	-76010.305	-57616.086	5371.912	-47428.61	-75344.68	57371.47	310670.78	2922.8981759548187
84	-79576.945	8509.0	-62909.445	-101953.84	-189913.8	22100.434	-160884.58	-225794.08	180.0	180.0	419999	-57373.62	5449.5566	-46776.223	-75959.92	-57373.72	5448.896	-46780.613	-76202.27	57097.727	299865.1	2958.3519570827484
85	-77567.54	8500.529	-63212.273	-97178.664	-179888.97	22322.79	-146809.4	-212865.73	180.0	180.0	424999	-57026.63	5647.217	-45737.03	-75983.6	-57026.746	5646.566	-45817.04	-75948.65	56734.555	300024.53	2994.574784040451
86	-79400.6	9000.236	-61142.465	-94213.93	-184473.14	19371.104	-145935.25	-217842.06	180.0	180.0	429999	-56615.81	5874.586	-44834.242	-75427.27	-56615.875	5874.1025	-44898.95	-75760.27	56315.3	302135.5	3031.0373499393463
87	-77805.98	7670.375	-66371.0	-94845.195	-211160.4	21517.824	-168665.98	-239881.1	180.0	180.0	434999	-56169.92	6071.91	-44184.883	-75606.61	-56170.027	6071.41	-44231.258	-76027.7	55868.69	301248.2	3067.708855867386
88	-78255.375	8595.03	-60959.117	-93591.62	-173380.84	27197.266	-133819.28	-215087.4	180.0	180.0	439999	-55704.44	6231.2744	-43603.77	-74997.336	-55704.453	6231.009	-43594.906	-75770.914	55406.938	301627.56	3103.9147939682007
89	-76741.77	8002.309	-59759.29	-93094.31	-175138.53	31604.678	-131474.56	-220127.05	180.0	180.0	444999	-55288.99	6362.2603	-42982.688	-74828.48	-55289.066	6361.7188	-43095.297	-74930.5	54987.27	314073.03	3140.8602588176727
90	-77683.69	8469.2705	-58692.062	-93415.0	-193095.47	21687.514	-161739.12	-230168.98	180.0	180.0	449999	-54890.793	6467.8037	-42495.168	-74744.78	-54890.836	6467.416	-42602.09	-75425.64	54589.473	326609.78	3179.381068944931
91	-75938.734	9145.497	-60881.402	-97248.9	-221237.25	18601.17	-180565.8	-242908.61	180.0	180.0	454999	-54485.188	6530.9453	-42066.88	-75373.1	-54485.18	6530.6846	-42201.2	-75975.15	54176.66	326025.56	3215.5126070976257
92	-73279.21	7914.986	-60808.656	-90481.1	-191223.12	12260.691	-166666.1	-204809.83	180.0	180.0	459999	-54137.92	6486.4385	-41803.82	-74802.836	-54137.98	6486.161	-41846.86	-75437.23	53822.145	346187.47	3252.214472055435
93	-66573.81	9378.208	-53709.867	-92075.56	-196501.56	20323.959	-158158.97	-227976.48	180.0	180.0	464999	-53672.32	6323.45	-41497.867	-73504.53	-53672.38	6323.3286	-41590.477	-73369.125	53307.992	318277.75	3288.0206310749054
94	-66336.22	8783.148	-53217.734	-87925.72	-185484.38	16925.457	-161597.25	-222241.22	180.0	180.0	469999	-53146.75	6115.2983	-41320.547	-73309.68	-53146.805	6115.157	-41194.812	-72790.48	52781.043	313607.38	3324.882754802704
95	-65809.22	9212.57	-52569.45	-89565.41	-195087.17	23194.568	-154659.39	-220914.88	180.0	180.0	474999	-52716.957	5966.3213	-40295.258	-72784.35	-52717.01	5966.2324	-40433.31	-72367.484	52352.637	301094.3	3361.554729938507
96	-97733.25	21696.34	-65070.457	-156600.14	-145903.97	22575.271	-88228.09	-164010.61	180.0	180.0	479999	-52209.49	5991.723	-38680.383	-74169.27	-52209.566	5991.5737	-38546.773	-73621.92	51752.12	275811.94	3398.1898040771484
97	-70468.68	12889.679	-46486.94	-99537.64	-60219.49	4410.8506	-51692.066	-68357.45	180.0	180.0	484999	-51826.387	5772.6006	-38414.473	-72269.055	-51826.36	5772.054	-38211.62	-71870.34	51381.53	241093.48	3434.763881921768
98	-59577.676	11716.957	-45804.977	-83195.04	-42801.805	5170.804	-34960.863	-50826.203	180.0	180.0	489999	-51337.0	5771.621	-40038.04	-70634.086	-51337.027	5771.3125	-39804.88	-70559.43	50899.184	216909.8	3471.9267060756683
99	-57559.035	12506.413	-44757.992	-85554.29	-47188.09	6179.001	-42379.074	-62167.203	180.0	180.0	494999	-51109.312	5816.243	-40040.33	-69698.65	-51109.336	5816.1855	-39872.742	-69953.8	50678.54	215734.98	3508.3723521232605
100	-58353.254	11547.601	-45231.16	-80537.48	-37737.965	2788.924	-34253.863	-42495.02	180.0	180.0	499999	-50962.727	5855.722	-39557.24	-69625.9	-50962.76	5855.601	-39508.02	-69579.74	50544.53	217433.39	3545.628067970276
101	-56491.125	8981.247	-45344.46	-75695.945	-34824.453	3070.4805	-31393.94	-40323.445	180.0	180.0	504999	-50850.86	5868.888	-39823.465	-69322.32	-50850.887	5868.8433	-40007.324	-69203.586	50429.656	216983.89	3583.2039670944214
102	-60001.832	11107.295	-42070.28	-84583.93	-35940.32	5749.825	-31760.379	-52051.31	180.0	180.0	509999	-50730.21	5871.765	-39825.434	-69144.65	-50730.234	5871.673	-39848.34	-69073.33	50310.613	219662.23	3619.8387989997864
103	-56277.94	10880.205	-45872.594	-86041.82	-44589.426	5639.965	-38004.535	-54592.51	180.0	180.0	514999	-50620.27	5875.66	-39874.297	-68881.05	-50620.312	5875.4805	-40023.535	-68672.64	50209.656	215048.31	3656.7888989448547
104	-60022.402	10858.467	-45598.785	-81205.08	-38762.543	3165.234	-32505.41	-42015.31	180.0	180.0	519999	-50541.016	5871.4756	-39758.36	-68975.414	-50541.055	5871.2666	-39954.48	-68927.92	50128.25	213287.89	3693.8503079414368
105	-54472.316	8047.299	-45522.79	-75181.05	-46723.555	9420.756	-33869.125	-57742.332	180.0	180.0	524999	-50466.13	5863.0146	-39542.08	-69701.98	-50466.168	5862.8296	-39582.0	-69408.55	50045.906	211936.31	3730.172886133194
